Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
model_global_importance_values,,,
,id,string,hash
,feature,string,no-op
,feature_imp,double,no-op
data_train,,,
,id,string,hash
,FirstGenerationinCollegeFlag,string,no-op
,Gender,string,no-op
,Race,string,no-op
,HSGraduateorGED,string,no-op
,Age_Term_Min,integer,no-op
,Age_Term_Max,integer,no-op
,Total_Terms,integer,no-op
,Entry_Type_DualEnrollment,integer,no-op
,Entry_Type_EarlyAdmission,integer,no-op
,Entry_Type_FirstTimeinCollege,integer,no-op
,Entry_Type_ReEntry,integer,no-op
,Entry_Type_Transfer,integer,no-op
,AcademicProbation,double,no-op
,AcademicSuspension,double,no-op
,AcademicWarning,double,no-op
,GoodAcademicStanding,double,no-op
,ProbationAfterSuspenDismiss,double,no-op
,TransferedToNonBusiness,double,no-op
,CumulativeGPA,double,no-op
,CumulativeCreditHoursEarnedPerTerm,double,no-op
,Blended,double,no-op
,FullyOnline,double,no-op
,RemoteLearning,double,no-op
,RemoteLearningBlended,double,no-op
,Traditional,double,no-op
,Adjunct,double,no-op
,Faculty,double,no-op
,Unknown_IntructorType,double,no-op
,PELL_Eligible,integer,no-op
,Dorm_Resident,integer,no-op
,Attrition,string,no-op
,rundate,timestamp,no-op
model_local_importance_values,,,
,id,string,hash
,FirstGenerationinCollegeFlag,double,no-op
,Gender,double,no-op
,Race,double,no-op
,HSGraduateorGED,double,no-op
,Age_Term_Min,double,no-op
,Age_Term_Max,double,no-op
,Total_Terms,double,no-op
,Entry_Type_DualEnrollment,double,no-op
,Entry_Type_EarlyAdmission,double,no-op
,Entry_Type_FirstTimeinCollege,double,no-op
,Entry_Type_ReEntry,double,no-op
,Entry_Type_Transfer,double,no-op
,AcademicProbation,double,no-op
,AcademicSuspension,double,no-op
,AcademicWarning,double,no-op
,GoodAcademicStanding,double,no-op
,ProbationAfterSuspenDismiss,double,no-op
,TransferedToNonBusiness,double,no-op
,CumulativeGPA,double,no-op
,CumulativeCreditHoursEarnedPerTerm,double,no-op
,Blended,double,no-op
,FullyOnline,double,no-op
,RemoteLearning,double,no-op
,RemoteLearningBlended,double,no-op
,Traditional,double,no-op
,Adjunct,double,no-op
,Faculty,double,no-op
,Unknown_IntructorType,double,no-op
,PELL_Eligible,double,no-op
,Dorm_Resident,double,no-op
,rundate,timestamp,no-op
,max_driver,string,no-op
,max_driver_strength,double,no-op
predictions_predict,,,
,id,string,hash
,prediction,string,no-op
predictions_predict_proba,,,
,id,string,hash
,attrition_prob,double,no-op
,retain_prob,double,no-op
data_test,,,
,id,string,hash
,FirstGenerationinCollegeFlag,string,no-op
,Gender,string,no-op
,Race,string,no-op
,HSGraduateorGED,string,no-op
,Age_Term_Min,integer,no-op
,Age_Term_Max,integer,no-op
,Total_Terms,integer,no-op
,Entry_Type_DualEnrollment,integer,no-op
,Entry_Type_EarlyAdmission,integer,no-op
,Entry_Type_FirstTimeinCollege,integer,no-op
,Entry_Type_ReEntry,integer,no-op
,Entry_Type_Transfer,integer,no-op
,AcademicProbation,double,no-op
,AcademicSuspension,double,no-op
,AcademicWarning,double,no-op
,GoodAcademicStanding,double,no-op
,ProbationAfterSuspenDismiss,double,no-op
,TransferedToNonBusiness,double,no-op
,CumulativeGPA,double,no-op
,CumulativeCreditHoursEarnedPerTerm,double,no-op
,Blended,double,no-op
,FullyOnline,double,no-op
,RemoteLearning,double,no-op
,RemoteLearningBlended,double,no-op
,Traditional,double,no-op
,Adjunct,double,no-op
,Faculty,double,no-op
,Unknown_IntructorType,double,no-op
,PELL_Eligible,integer,no-op
,Dorm_Resident,integer,no-op
,Attrition,string,no-op
,rundate,timestamp,no-op
